,premise,hypothesis,label
81,¿Cómo se encuentra el día de hoy?,Saludo,0
82,¡Hola! ¿Cómo estás?,Saludo,0
83,¡Buenos días! ¿Listo para empezar el día?,Saludo,0
84,¡Buenas tardes! ¿Cómo ha sido tu día?,Saludo,0
85,¡Buenas noches! ¿Listo para descansar?,Saludo,0
86,¡Bienvenido! ¡Espero que tengas un buen día!,Saludo,0
87,¡Saludos! ¿Qué planes tienes hoy?,Saludo,0
88,¡Hola amigo! ¡Qué bueno verte!,Saludo,0
89,¡Hola! ¿Cómo te ha ido?,Saludo,0
90,¡Hola! ¿Qué noticias tienes?,Saludo,0
91,¡Hola! ¿Cómo te sientes hoy?,Saludo,0
92,¡Hola! ¿Cómo te ha ido la semana?,Saludo,0
93,¡Hola! ¿Cómo te ha ido el fin de semana?,Saludo,0
94,¡Hola! ¿Qué tal tu día?,Saludo,0
95,¡Hola! ¿Cómo está tu familia?,Saludo,0
96,¡Hola! ¿Cómo están tus amigos?,Saludo,0
97,¡Hola! ¿Cómo está tu trabajo?,Saludo,0
98,¡Hola! ¿Cómo estás de salud?,Saludo,0
99,¡Hola! ¿Cómo está tu estudio?,Saludo,0
100,¡Hola! ¿Qué has estado haciendo últimamente?,Saludo,0
101,¡Hola! ¿Cómo está tu vida?,Saludo,0
102,¡Hola! ¿Cómo está tu día?,Saludo,0
103,¡Hola! ¿Qué has estado haciendo?,Saludo,0
104,¡Hola! ¿Cómo te ha ido la semana?,Saludo,0
105,¡Hola! ¿Qué planes tienes para hoy?,Saludo,0
106,¡Hola! ¿Cómo te sientes hoy?,Saludo,0
107,¡Hola! ¿Cómo te ha ido el fin de semana?,Saludo,0
108,¡Hola!,Saludo,0
109,Hola de nuevo.,Saludo,0
110,¡Hola! ¿Cómo estás?,Ayuda,1
111,¡Buenos días! ¿Listo para empezar el día?,Ayuda,1
112,¡Buenas tardes! ¿Cómo ha sido tu día?,Ayuda,1
113,¡Buenas noches! ¿Listo para descansar?,Ayuda,1
114,¡Bienvenido! ¡Espero que tengas un buen día!,Ayuda,1
115,¡Saludos! ¿Qué planes tienes hoy?,Ayuda,1
116,¡Hola amigo! ¡Qué bueno verte!,Ayuda,1
117,¡Hola! ¿Cómo te ha ido?,Ayuda,1
118,¡Hola! ¿Qué noticias tienes?,Ayuda,1
119,¡Hola! ¿Cómo te sientes hoy?,Ayuda,1
120,¡Hola! ¿Cómo te ha ido la semana?,Ayuda,1
121,¡Hola! ¿Cómo te ha ido el fin de semana?,Ayuda,1
122,¡Hola! ¿Qué tal tu día?,Ayuda,1
123,¡Hola! ¿Cómo está tu familia?,Ayuda,1
124,¡Hola! ¿Cómo están tus amigos?,Ayuda,1
125,¡Hola! ¿Cómo está tu trabajo?,Ayuda,1
126,¡Hola! ¿Cómo estás de salud?,Ayuda,1
127,¡Hola! ¿Cómo está tu estudio?,Ayuda,1
128,¡Hola! ¿Qué has estado haciendo últimamente?,Ayuda,1
129,¡Hola! ¿Cómo está tu vida?,Ayuda,1
130,¡Hola! ¿Cómo está tu día?,Ayuda,1
131,¡Hola! ¿Qué has estado haciendo?,Ayuda,1
132,¡Hola! ¿Cómo te ha ido la semana?,Ayuda,1
133,¡Hola! ¿Qué planes tienes para hoy?,Ayuda,1
134,¡Hola! ¿Cómo te sientes hoy?,Ayuda,1
135,¡Hola! ¿Cómo te ha ido el fin de semana?,Ayuda,1
136,¡Hola!,Ayuda,1
137,Hola de nuevo.,Ayuda,1
